Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
525,Jamil Wilson\wilsoja02,SF,27,LAC,15,10,274,6.7,14.4,.469,4.8,11.2,.429,2.0,3.2,.611,0.4,0.7,.500,0.5,5.1,5.7,1.8,0.9,1.4,1.4,6.0,18.6,,118,112
526,Justise Winslow\winslju01,PF,21,MIA,68,25,1680,6.2,14.6,.424,1.5,3.9,.380,4.7,10.7,.440,2.0,3.1,.635,1.9,9.1,11.0,4.4,1.6,1.0,2.3,4.2,15.8,,101,105
527,Jeff Withey\witheje01,C,27,DAL,9,0,39,7.7,20.6,.375,2.6,12.9,.200,5.1,7.7,.667,1.3,2.6,.500,1.3,11.6,12.9,0.0,0.0,3.9,2.6,3.9,19.3,,80,106
528,Nate Wolters\woltena01,PG,26,UTA,5,0,19,2.6,15.8,.167,0.0,0.0,,2.6,15.8,.167,0.0,0.0,,2.6,2.6,5.3,2.6,0.0,0.0,0.0,2.6,5.3,,58,112
529,Brandan Wright\wrighbr03,PF,30,TOT,28,1,381,7.8,13.5,.578,0.0,0.0,,7.8,13.5,.578,2.8,4.4,.636,4.4,8.2,12.6,1.7,1.7,3.4,1.1,4.2,18.4,,124,107
529,Brandan Wright\wrighbr03,PF,30,MEM,27,1,366,7.9,13.7,.576,0.0,0.0,,7.9,13.7,.576,2.9,4.6,.636,4.4,8.4,12.8,1.8,1.8,3.5,1.1,4.0,18.7,,124,107
529,Brandan Wright\wrighbr03,PF,30,HOU,1,0,15,6.6,9.8,.667,0.0,0.0,,6.6,9.8,.667,0.0,0.0,,3.3,3.3,6.6,0.0,0.0,3.3,0.0,9.8,13.1,,144,109
530,Delon Wright\wrighde01,PG,25,TOR,69,4,1433,6.9,14.9,.465,1.9,5.3,.366,5.0,9.6,.520,3.3,4.0,.829,1.5,5.3,6.8,6.9,2.5,1.1,2.7,2.8,19.1,,116,105
531,Guerschon Yabusele\yabusgu01,PF,22,BOS,33,4,235,5.5,13.0,.426,2.6,7.9,.324,3.0,5.1,.583,3.2,4.7,.682,3.6,7.4,11.1,3.4,0.9,1.1,2.6,4.9,16.8,,111,105
532,James Young\youngja01,SG,22,PHI,6,0,61,3.9,11.0,.357,2.4,7.9,.300,1.6,3.2,.500,3.2,4.7,.667,0.0,1.6,1.6,1.6,0.0,0.0,0.8,3.2,13.4,,106,113
533,Joe Young\youngjo01,PG,25,IND,53,1,558,7.2,16.7,.430,2.2,5.9,.379,4.9,10.7,.458,2.0,2.6,.759,1.1,4.6,5.6,3.5,1.3,0.1,2.3,3.5,18.5,,102,112
534,Nick Young\youngni01,SG,32,GSW,80,8,1393,7.0,16.9,.412,4.3,11.3,.377,2.7,5.6,.481,1.9,2.2,.862,0.7,3.6,4.3,1.2,1.3,0.2,1.4,3.5,20.1,,106,112
535,Thaddeus Young\youngth01,PF,29,IND,81,81,2607,8.1,16.6,.487,1.1,3.5,.320,7.0,13.1,.531,1.1,1.8,.598,3.5,6.3,9.8,2.9,2.6,0.7,2.0,3.4,18.3,,108,107
536,Cody Zeller\zelleco01,C,25,CHO,33,0,627,6.6,12.1,.545,0.2,0.2,.667,6.5,11.9,.542,4.7,6.6,.718,5.2,8.6,13.8,2.4,1.1,1.6,2.6,6.3,18.1,,119,108
537,Tyler Zeller\zellety01,C,28,TOT,66,34,1109,8.3,14.8,.560,0.4,1.2,.357,7.8,13.5,.578,2.5,3.5,.722,4.9,8.6,13.5,2.1,0.7,1.5,2.1,5.6,19.5,,118,111
537,Tyler Zeller\zellety01,C,28,BRK,42,33,703,8.6,15.8,.546,0.7,1.8,.385,7.9,14.0,.567,2.8,4.1,.667,4.4,9.0,13.4,1.9,0.6,1.5,2.4,5.4,20.7,,113,111
537,Tyler Zeller\zellety01,C,28,MIL,24,1,406,7.6,12.9,.590,0.0,0.2,.000,7.6,12.7,.602,2.1,2.3,.895,5.8,7.9,13.6,2.3,0.9,1.7,1.5,5.9,17.3,,130,111
538,Paul Zipser\zipsepa01,SF,23,CHI,54,12,824,4.8,13.9,.346,2.2,6.5,.336,2.6,7.3,.355,1.1,1.5,.731,0.8,7.0,7.8,2.7,1.2,0.9,2.5,5.1,12.9,,84,112
539,Ante Zizic\zizican01,C,21,CLE,32,2,214,11.2,15.3,.731,0.0,0.0,,11.2,15.3,.731,4.8,6.6,.724,5.5,8.2,13.7,1.1,0.5,3.0,2.5,6.9,27.2,,137,111
540,Ivica Zubac\zubaciv01,C,20,LAL,43,0,410,7.1,14.2,.500,0.0,0.1,.000,7.1,14.1,.504,4.6,6.0,.765,5.3,9.1,14.4,2.9,0.9,1.8,3.0,5.5,18.8,,111,107
